No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
3112;202000039847;149321;149321-050-050320;20602613225;GRIFO PETROMAR SOCIEDAD ANONIMA CERRADA;PANAMERICANA SUR VIA INTEROCEANICA NAZCA - CUSCO KM.417 - KM.418+00;APURIMAC;ABANCAY;CIRCA;ESTACIONES DE SERVICIOS;C1:10295:Diesel B5 S-50;C1:10295:Diesel B5 S-50;C1:5126:GASOHOL 90 PLUS C2:5126:GASOHOL 95 PLUS;nan;nan;nan;nan;nan;nan;nan;30842.0;05/03/2020;INDEFINIDO;FRANCISCO CUEVA QUISPE;0
3113;201900217543;133713;133713-050-020120;20600788818;ANDREE G & C SOCIEDAD ANONIMA CERRADA;FRACCION QUINTA EL TOLEDANO Y LOTE 1 MANZANA 'Y' APV. POPULAR SANTA ROSA, URB. TUPAC AMARU;CUSCO;CUSCO;SAN SEBASTIAN;ESTACIONES DE SERVICIOS;C1:6600:Diesel B5 S-50;C1:6600:GASOHOL 90 PLUS;C1:5285:GASOHOL 95 PLUS;C1:5285:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;23770.0;02/01/2020;INDEFINIDO;MIRIAM CORTEZ FERNANDEZ;0
3114;202200263015;149301;149301-050-130123;20406522998;GRIFO CRUZ AYABACAS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;PULLA PULLANI CARRETERA JULIACA - HUANCANE KM. 13+720 COMUNIDAD CAMPESINA COJELA;PUNO;HUANCANE;PUSI;ESTACIONES DE SERVICIOS;C1:8250:Diesel B5 S-50;C1:8250:Diesel B5 S-50;C1:4000:GASOHOL 84 PLUS;C1:4000:GASOHOL 90 PLUS;C1:4000:GASOHOL 95 PLUS;C1:4000:GASOHOL 97 PLUS;nan;nan;nan;nan;32500.0;13/01/2023;INDEFINIDO;CONDORI MAMANI CECILIA;0
3115;202100259679;159831;159831-050-070222;10272855043;FERNANDO CORONADO TORRES;LOTE 5 MZ. 24, CALLE ELEUTERIO DELGADO S/N ESQUINA CON PROLONGACION CHE GUEVARA;CAJAMARCA;CUTERVO;SOCOTA;ESTACIONES DE SERVICIOS;C1:1900:GASOHOL 95 PLUS;C1:3000:Diesel B5 S-50;C1:2700:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;nan;7600.0;07/02/2022;INDEFINIDO;FERNANDO CORONADO TORRES;0
3116;202300085103;122481;122481-050-260623;20601760437;H & E INVERSIONES MILY E.I.R.L.;AV. 15 DE OCTUBRE MZ. B, LT. 8 CENTRO POBLADO LANLACUNI;PUNO;CARABAYA;SAN GABAN;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6586:Diesel B5 S-50;C1:1120:GASOHOL REGULAR;nan;nan;nan;nan;nan;nan;nan;nan;7706.0;26/06/2023;28/01/2024;HUANACO HUILLCA MOISES NICO;0
3117;202000086592;150075;150075-050-200720;10247102090;HERMOGENES MANUEL HANCCO QUISPE;AV. PACHACUTEQ S/N;CUSCO;CANCHIS;SICUANI;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:5400:Diesel B5 S-50;C1:5400:Diesel B5 S-50;C1:5400:GASOHOL 95 PLUS;C1:5400:GASOHOL 90 PLUS;nan;nan;nan;nan;nan;nan;21600.0;20/07/2020;INDEFINIDO;HERMOGENES MANUEL HANCCO QUISPE;0
3118;201700170201;18649;18649-050-161017;20393260191;NEGOCIACIONES JHON CHRISTIAN S.R.L.;AV. CENTENARIO N° 299;UCAYALI;CORONEL PORTILLO;CALLERIA;ESTACIONES DE SERVICIOS;C1:6000:SIN PRODUCTO;C1:2000:DIESEL B5 C2:2000:GASOLINA 90 C3:2000:GASOLINA 90;nan;nan;nan;nan;nan;nan;nan;nan;12000.0;16/10/2017;INDEFINIDO;VILMA ROSA BAUTISTA CULLI;0
3119;202300255523;87181;87181-050-261023;20609624192;LUBEYMI EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;AV. VON HUMBOLT SUB LOTE 2-A VIÑANI;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3900:Diesel B5 S-50;C1:2600:GASOHOL PREMIUM;C1:2600:GASOHOL REGULAR;nan;nan;nan;nan;nan;nan;nan;9100.0;26/10/2023;INDEFINIDO;MARY HUARANCA SARMIENTO;0
3120;202000195892;97965;97965-050-040221;20493942094;ESTACION DE SERVICIOS SORITOR E.I.R.L.;CARRETERA FERNANDO BELAUNDE TERRY KM 468;SAN MARTIN;RIOJA;ELIAS SOPLIN VARGAS;ESTACIONES DE SERVICIOS;C1:4500:Diesel B5 S-50;C1:4500:GASOLINA 84;C1:4500:GASOLINA 90;nan;nan;nan;nan;nan;nan;nan;13500.0;04/02/2021;INDEFINIDO;NORBIL ALADINO VASQUEZ PINEDO;720
3121;201900146441;15391;15391-050-170919;20563970350;BIOCOMBUSTIBLES 20 DE ENERO SOCIEDAD ANONIMA CERRADA;AV. TUYRO TUPAC N° 413;CUSCO;CUSCO;SAN SEBASTIAN;ESTACIONES DE SERVICIOS;C1:4000:Diesel B5 S-50;C1:4000:GASOHOL 90 PLUS;C1:4000:GASOHOL 95 PLUS;nan;nan;nan;nan;nan;nan;nan;12000.0;10/09/2019;INDEFINIDO;WILBERTS CARLOS LOAYZA MOREANO;0
